# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/22 15:56:50 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
605.15,-4.37946,423312970.93069,355.667,1.4390262835930585e-09,2.200123889453874e-75
607.6,-4.37897,423654983.32065,355.916,1.4401889335760835e-09,2.5285110121160095e-75
610.05,-4.37848,423997233.72193,356.165,1.4413523926638827e-09,2.905683526678439e-75
612.5,-4.37799,424339722.264929,356.415,1.4425166612997354e-09,3.3388546124161553e-75
614.95,-4.3775,424682449.080083,356.664,1.4436817399270572e-09,3.83629881628175e-75
617.4,-4.37701,425025414.297872,356.914,1.4448476289894022e-09,4.407507461992844e-75
619.85,-4.37652,425368618.048816,357.164,1.4460143289304643e-09,5.063366701796022e-75
622.3,-4.37603,425712060.463474,357.414,1.4471818401940744e-09,5.816361493287738e-75
624.75,-4.37554,426055741.672448,357.664,1.4483501632242025e-09,6.680809257080159e-75
627.2,-4.37505,426399661.806379,357.914,1.449519298464957e-09,7.673127512419991e-75
629.65,-4.37456,426743820.995949,358.165,1.4506892463605838e-09,8.812140406815599e-75
632.1,-4.37407,427088219.371882,358.416,1.4518600073554674e-09,1.0119429763358744e-74
634.55,-4.37358,427432857.064941,358.667,1.4530315818941302e-09,1.1619737078390382e-74
637.0,-4.37309,427777734.205929,358.918,1.4542039704212336e-09,1.3341423826887204e-74
639.45,-4.3726,428122850.925693,359.17,1.4553771733815756e-09,1.5316998489911077e-74
641.9,-4.37211,428468207.355117,359.422,1.4565511912200935e-09,1.758371992650147e-74
644.35,-4.37162,428813803.625127,359.673,1.4577260243818619e-09,2.0184288092925693e-74
646.8,-4.37113,429159639.866689,359.926,1.4589016733120932e-09,2.3167634689811356e-74
649.25,-4.37064,429505716.210812,360.178,1.4600781384561377e-09,2.658982812028339e-74
