# --------------- PyTT output file ------------------ 
# input file: Simulations/CERN_SPS_WS_2008.txt 
# execution date and time: 2024/05/23 09:21:26 
# Particle: Proton   Material: Carbon 
# EdepMethod: EdepValue 
# dEdx: 1.2733333333333334 [MeV*cm2/g] 
# Outputs:               -----------------------------
# SEY protons: 0.003465538032766926 
# --------------------------------------------------- 
#   Time [us], Position [mm], Npart, MaxTemp [K], SEMcurr [uA], THcurr [uA] 
143.29,-4.3576,159402364.306705,313.433,1.4916879678079047e-09,6.330867785638631e-87
144.18,-4.35671,159635182.692192,313.527,1.4938666831978846e-09,6.757159115498891e-87
145.07,-4.35582,159868293.465235,313.621,1.4960481347518079e-09,7.212756124132267e-87
145.96,-4.35493,160101696.91371,313.715,1.498232325163595e-09,7.699710211184313e-87
146.85,-4.35404,160335393.325648,313.809,1.5004192571286492e-09,8.220218745919063e-87
147.74,-4.35315,160569382.989239,313.903,1.5026089333438543e-09,8.776635611837164e-87
148.63,-4.35226,160803666.192831,313.998,1.5048013565075749e-09,9.371482523805197e-87
149.52,-4.35137,161038243.224931,314.093,1.5069965293196532e-09,1.0007461175053799e-86
150.41,-4.35048,161273114.374202,314.187,1.5091944544814115e-09,1.0687466275695218e-86
151.3,-4.34959,161508279.929467,314.282,1.5113951346956465e-09,1.1414599549067857e-86
152.19,-4.3487,161743740.179706,314.377,1.5135985726666323e-09,1.2192184757185405e-86
153.08,-4.34781,161979495.414056,314.472,1.515804771100117e-09,1.3023783831962489e-86
153.97,-4.34692,162215545.921812,314.568,1.518013732703323e-09,1.3913214194655287e-86
154.86,-4.34603,162451891.992425,314.663,1.5202254601849444e-09,1.48645673521765e-86
155.75,-4.34514,162688533.915505,314.759,1.5224399562551468e-09,1.5882228865662121e-86
156.64,-4.34425,162925471.98082,314.855,1.5246572236255668e-09,1.6970899793854337e-86
157.53,-4.34336,163162706.478291,314.95,1.5268772650093094e-09,1.8135619721629208e-86
158.42,-4.34247,163400237.698001,315.046,1.529100083120949e-09,1.9381791492374095e-86
159.31,-4.34158,163638065.930185,315.143,1.5313256806765253e-09,2.071520777189249e-86
160.2,-4.34069,163876191.465238,315.239,1.533554060393546e-09,2.214207958120364e-86
161.09,-4.3398,164114614.59371,315.335,1.5357852249909815e-09,2.366906694603978e-86
161.98,-4.33891,164353335.606307,315.432,1.5380191771892679e-09,2.5303311822066483e-86
162.87,-4.33802,164592354.793894,315.529,1.5402559197103017e-09,2.7052473466958533e-86
163.76,-4.33713,164831672.447489,315.625,1.5424954552774442e-09,2.8924766443450317e-86
164.65,-4.33624,165071288.858267,315.722,1.5447377866155128e-09,3.0929001451540055e-86
165.54,-4.33535,165311204.31756,315.82,1.5469829164507884e-09,3.307462920313017e-86
166.43,-4.33446,165551419.116855,315.917,1.5492308475110066e-09,3.537178756861239e-86
167.32,-4.33357,165791933.547794,316.014,1.551481582525362e-09,3.78313522424895e-86
168.21,-4.33268,166032747.902176,316.112,1.5537351242245043e-09,4.046499119396583e-86
169.1,-4.33179,166273862.471954,316.21,1.5559914753405372e-09,4.328522318877064e-86
169.99,-4.3309,166515277.549238,316.307,1.5582506386070202e-09,4.630548069040639e-86
170.88,-4.33001,166756993.426293,316.405,1.5605126167589628e-09,4.9540177472627546e-86
171.77,-4.32912,166999010.395536,316.504,1.562777412532827e-09,5.300478130032443e-86
172.66,-4.32823,167241328.749543,316.602,1.5650450286665235e-09,5.671589206348045e-86
173.55,-4.32734,167483948.781043,316.7,1.567315467899414e-09,6.0691325778315134e-86
174.44,-4.32645,167726870.782919,316.799,1.5695887329723061e-09,6.495020490161412e-86
175.33,-4.32556,167970095.048211,316.897,1.5718648266274556e-09,6.951305543847877e-86
176.22,-4.32467,168213621.87011,316.996,1.5741437516085617e-09,7.440191136071405e-86
